Name, Type, Region
Adobo Mojado, , Puerto Rican
Agliata, , Italian
Agrodolce, , Italian
Aioli, Emulsified,
Ajika, , Georgian
Ajilimójili, , Puerto Rican
Ají, , South American
Albert sauce, , British
Alfredo, , Italian
Alioli, , Spanish
Allemande sauce, , French
Amatriciana sauce, Meat-based,
Anchovy essence, General,
Apple sauce, Sweet, British
Arrabbiata sauce, , Italian
Au jus, , French
Avgolemono, General, Greek
Avocado sauce, General,
Babi panggang sauce, , Indonesian
Bagna càuda, Fish, Italian
Bagoong, , Philippine
Bajan pepper sauce, , Barbadian
Banana ketchup, , Philippine
Barbecue Sauce, General, American
Barese ragù, Meat-based,
Beurre blanc, Butter,
Beurre manie, Butter,
Beurre monté, Butter,
Beurre noir, , French
Beurre noisette, , French
Bicky sauce, , Belgian
Blueberry sauce, Sweet,
Bolognese sauce, , Italian
Bolognese, Meat-based,
Bordelaise sauce, Brown sauce,
Brasil sauce, , Belgian
Bread sauce, General, British
Breton sauce, , French
Brown Gravy, , American
Brown sauce, , British
Budu, , Southeast Asian
Buffalo Sauce, Hot,
Butterscotch sauce, Sweet,
Béarnaise sauce, Emulsified,
Béchamel sauce, White,
Café de Paris sauce, , Swiss
Café de Paris, Butter,
Capital sauce, General,
Caramel, Sweet,
Carbonara, Meat-based,
Caruso sauce, Meat-based, Uruguayan
Caruso sauce, White,
Cebolada, , Portugese
Chancaca, , South American
Chancho en piedra, , Chilean
Charcutiere sauce, Brown sauce,
Chasseur, , French
Chateaubriand sauce, Brown sauce,
Chaudfroid sauce, Brown sauce,
Checca sauce, , Italian
Cheddar sauce, , British
Chermoula, , African
Chile pepper-tinged sauces, Hot,
Chili sauce, Hot,
Chilli soy lime, , Philippine
Chimichurri, Fresh, Argentinian
Chocolate gravy, Sweet,
Chocolate syrup, Sweet,
Cincalok, , Malaysian
Cincinnati Chili, Meat-based, American
Cocktail sauce, General,
Coffee sauce, General,
Colo-colo, , Indonesian
Comeback sauce, , American
Coney sauce, , American
Cooked sauces, , East Asian
Corn sauce, General,
Coulis, General,
Cranberry sauce, Sweet,
Crème anglaise, Sweet,
Cumberland sauce, , British
Curry, Meat-based,
Custard, Sweet,
Dabu-dabu, , Indonesian
Datil pepper sauce, Hot,
Demi glace, Brown sauce,
Donair sauce, , Canadian
Doubanjiang, , Chinese
Duck sauce, General,
Duckefett, , German
Egusi sauce, General,
Enchilada sauce, Hot,
Filfel chuma, , Libyan
Fish sauce, , Southeast Asian
Fra diavolo sauce, , Italian
Francesinha sauce, , Portugese
Frankfurt green sauce, , German
Fritessaus, , Dutch
Fry sauce, General,
Fudge sauce, Sweet,
Garlic sauce, Emulsified,
Garum, Fish, Mediterranean
Gravy, Brown sauce, British
Green sauce, Green,
Gremolata, Fresh,
Guacamole, , Mexican
Halford Leicestershire Table Sauce, , British
Halvaytar, General,
Hard sauce, Sweet,
Harissa, , African
Henry Bain sauce, , American
Hogao, , Colombian
Hoisin sauce, , East Asian
Hoisin, , Chinese
Hollandaise sauce, Emulsified,
Honey garlic sauce, , Canadian
Horseradish sauce, , British
HP sauce, Brown sauce,
Huancaina, , Peruvian
Jajang, Meat-based,
Joppiesaus, , Belgian
Ketchup, Tomato,
Khrenovina sauce, , Russian
Korean soy sauce, , Korean
Korma, Meat-based,
Lao Gan Ma, , Chinese
Latik, , Philippine
Liver sauce, , Philippine
Llajwa, , Bolivian
Lobster sauce, , East Asian
Maafe, , African
Madras, Meat-based,
Mahyawa, General, Iranian
Mala sauce, , Chinese
Mango sauce, Sweet,
Marie Rose sauce, , British
Marinara sauce, , Italian
Massaman curry, Meat-based,
Mee pok sauce, , Chinese
Melitzanosalata, , Greek
Meuniere sauce, Butter,
Mignonette sauce, General,
Mint sauce, General, British
Mirin, , East Asian
Moambe, , African
Mojito Isleño, , Puerto Rican
Mojo Criollo, , Puerto Rican
Mojo, , Canarian
Mole, , Mexican
Mornay sauce, White,
Mostaza La Pasiva, , Uruguayan
Muhammara, , Middle Eastern
Mujdei, Fresh, Romanian
Mumbo sauce, , American
Mushroom gravy, Brown sauce,
Mushroom ketchup, General,
Mushroom sauce, White, British
Mustard sauces, Hot,
Mustard, Hot,
Nam chim gai, , Thai
Nam chim seafood, , Thai
Nam chim, , Thai
Nam phrik, , Thai
Nantua sauce, , French
Neapolitan ragù, Meat-based, Italian
Neapolitan sauce, , Italian
Normande sauce, General,
Nước chấm, , Southeast Asian
Old Sour, , American
Onion gravy, , British
Onion sauce, Fresh,
Oyster sauce, , Chinese
Padaek, , Southeast Asian
Palaver sauce, Meat-based,
Pan sauce, General,
Parsley sauce, , British
Peach sauce, Sweet, Chinese
Pebre, , Chilean
Pecel, , Indonesian
Pepper sauces, Hot,
Peppercorn sauce, General,
Persillade, Fresh,
Pesto, Fresh, Italian
Picadillo, Meat-based,
Picantina, , Uruguayan
Pico de gallo, Fresh, Mexican
Pique Sauce, Hot,
Pique Verde, , Puerto Rican
Pique, , Puerto Rican
Pla ra, , Southeast Asian
Plum sauce , , East Asian
Plum sauce, Sweet, Chinese
Ponzu, , Japanese
Poutine, Brown sauce,
Prik nam pra, , Thai
Ragù alla salsiccia, Meat-based, Italian
Ragù, Meat-based, Italian
Rainbow sauce, General,
Ravigote sauce, General,
Ravigote, , French
Recaíto, , Puerto Rican
Red-eye gravy, , American
Redcurrant sauce, , British
Remoulade, Emulsified, American
Romesco sauce, Brown sauce,
Romesco, General, Catalan
Rouennaise sauce, , French
Rouille, , French
Sahawiq, , Middle Eastern
Salad cream, Emulsified,
Salad dressing, General,
Salsa Borracha, , Mexican
Salsa criolla, , Argentinian
Salsa cruda, Fresh,
Salsa golf, , Argentinian
Salsa Macha, , Mexican
Salsa Roja, General, Mexican
Salsa Verde, Fresh, Mexican
Saltsa kima, Meat-based,
Salvitxada, , Catalan
Sambal, , Indonesian
Satay sauce, , Southeast Asian
Satsebeli, , Georgian
Satsivi, Meat-based, Caucasus
Satzibeli, General,
Sauce Africaine, Brown sauce,
Sauce Allemande, White,
Sauce Américaine, White, French
Sauce andalouse, General,
Sauce au Poivre, Brown sauce,
Sauce aurore, General,
Sauce bercy, General,
Sauce bourguignonne, , French
Sauce Béchamel, , French
Sauce charcutière, , French
Sauce Espagnole, , French
Sauce gribiche, Fresh, French
